name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
north germany,2018-02-12,2.2,-1.4,0.4,0.3,-5.6,-2.6,-1.4,88.5,1.451,100,62.5,"rain,snow",0.8,0.6,,22.5,262,1014.4,61.9,24.3,49.1,4.2,2,,2018-02-12T07:30:37,2018-02-12T17:29:57,0.89,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-13,1.7,-5.9,-2.3,-1.1,-9.5,-5.3,-5.5,80,0,0,0,,0.5,1.2,,14.3,120,1018.2,11.4,31.8,98.9,8.5,4,,2018-02-13T07:28:53,2018-02-13T17:31:39,0.92,Clear,Clear conditions throughout the day.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-14,3.5,-8,-2.8,3.5,-10.9,-4.2,-7.4,73.4,0,0,0,,0,0.4,,15.4,117.8,1019.7,4.7,37.2,109.1,9.3,5,,2018-02-14T07:27:08,2018-02-14T17:33:20,0.95,Clear,Clear conditions throughout the day.,clear-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-15,1.5,-6.4,-1.6,-3.6,-11.5,-6.4,-4.6,81.5,1.198,100,37.5,"rain,snow",0.2,0.2,,26.8,131.6,1020.6,86.7,15.1,28.8,2.4,1,,2018-02-15T07:25:22,2018-02-15T17:35:01,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-16,3.3,-1.4,1,2.7,-4.2,-0.2,0.5,96.2,3.032,100,37.5,"rain,snow",0.1,0.3,,8.8,40.4,1026.1,53.4,6.4,72.8,6.3,4,,2018-02-16T07:23:35,2018-02-16T17:36:42,0.02,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-17,0.9,-1.9,-0.5,0.6,-4.6,-2.1,-1.7,91.7,0.638,100,37.5,"rain,snow",0.5,0.3,,17,32,1024.1,92,9.5,16.5,1.3,1,,2018-02-17T07:21:46,2018-02-17T17:38:23,0.06,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-18,3.4,-4.5,-0.3,1.5,-6.1,-2,-3.1,82.6,0,0,0,,0.3,0.8,,13.9,92.7,1027.9,16.1,18.4,90.9,7.9,5,,2018-02-18T07:19:56,2018-02-18T17:40:04,0.09,Clear,Clear conditions throughout the day.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-19,1.9,-5,-1.8,1.9,-8.7,-3.8,-4.7,81,0,0,0,,0,0.5,,11.9,115.1,1022.1,64.9,21.2,104.8,9,5,,2018-02-19T07:18:05,2018-02-19T17:41:44,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-20,0,-4.8,-2.4,-2.8,-6.9,-4.6,-4.4,86.4,0.034,100,16.67,"rain,snow",0,0.4,,12.7,354.3,1018.3,76.7,8.4,75.3,6.5,3,,2018-02-20T07:16:13,2018-02-20T17:43:25,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-21,3.6,-5.5,-1.8,0.5,-8.2,-4.4,-6,75.2,0,0,0,,0,0.4,,19.7,7.1,1021.5,18.5,12,138.4,11.9,5,,2018-02-21T07:14:20,2018-02-21T17:45:04,0.2,Clear,Clear conditions throughout the day.,clear-day,"03667,01279,03975,03668,04280,01721"
north germany,2018-02-22,1.7,-4,-1.5,-3.5,-8.7,-6,-8.7,59.2,0,0,0,,0,0.3,,24.5,56.2,1020.6,35.2,28.2,111.9,9.6,4,,2018-02-22T07:12:26,2018-02-22T17:46:44,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03667,01279,03975,03668,04280,01721"
north germany,2018-02-23,2.1,-5.2,-1.9,-2.2,-9.8,-6.7,-9.3,58,0,0,0,,0,0.3,,23.3,54.9,1019.9,10.1,26.3,118.2,10.2,4,,2018-02-23T07:10:30,2018-02-23T17:48:24,0.25,Clear,Clear conditions throughout the day.,clear-day,"03667,01279,03975,03668,04280,01721"
north germany,2018-02-24,1.4,-6.3,-2.9,-3.7,-12.3,-8,-11.4,53.3,0,0,0,,0,0.3,,27.8,67,1023.8,8.8,30.2,151.4,13,6,,2018-02-24T07:08:34,2018-02-24T17:50:03,0.3,Clear,Clear conditions throughout the day.,clear-day,"03667,01279,03975,03668,04280,01721"
north germany,2018-02-25,-2.4,-9.2,-6.1,-7.4,-14.7,-11.6,-15.6,49.3,0,0,0,,0,0.3,,21.7,57.5,1027.5,4.7,33.7,157,13.5,6,,2018-02-25T07:06:37,2018-02-25T17:51:42,0.34,Clear,Clear conditions throughout the day.,clear-day,"03667,01279,03975,03668,04280"
north germany,2018-02-26,-5,-11.7,-8.4,-11.5,-16.4,-14,-16.2,54.1,0,0,0,,0,0.2,,23.4,27.9,1025.5,46.2,36.3,100.8,8.9,4,,2018-02-26T07:04:39,2018-02-26T17:53:20,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-27,-5.9,-13,-9.7,-10.1,-17.8,-14.4,-16.6,58.9,0,0,0,,0,0.2,,15.1,29,1020.5,95.6,30.9,94.6,8.2,4,,2018-02-27T07:02:40,2018-02-27T17:54:59,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"03667,01279,03975,03668,04280"
north germany,2018-02-28,-6.3,-14.5,-10.2,-13.2,-19.2,-15.2,-16.4,61.9,0,0,0,,0,0.2,,22.6,78.7,1021.6,32.5,25.2,149,12.9,6,,2018-02-28T07:00:40,2018-02-28T17:56:37,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03667,01279,03975,03668,04280"
north germany,2018-03-01,-1.3,-10.4,-6.6,-7.4,-18.7,-13.5,-15.1,51.9,0,0,0,,0,0.2,,27.7,89.6,1011.3,43.2,24.9,115.9,10.1,5,,2018-03-01T06:58:40,2018-03-01T17:58:14,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-02,0,-9.5,-4.5,-4.2,-13.4,-9.1,-11.7,58.4,0,0,0,,2.1,0.9,,19.3,84.9,1001,57.1,17.2,107.2,9.2,5,,2018-03-02T06:56:39,2018-03-02T17:59:52,0.5,Partially cloudy,Partly cloudy throughout the day.,snow,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-03,2.3,-4.7,-2.1,1.2,-9.8,-5.7,-4.8,82,2.078,100,29.17,snow,1.3,2.8,,17.2,97.8,1000.7,55.1,7.7,57.3,4.9,3,,2018-03-03T06:54:37,2018-03-03T18:01:29,0.55,"Snow, Partially cloudy",Clearing in the afternoon with snow clearing later.,snow,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-04,8,-1.4,2,5.3,-5.6,-1.6,-1.2,80.2,0.385,100,8.33,"rain,snow",0,1.1,,17.7,114,1002,61.7,8.6,96.1,8.4,5,,2018-03-04T06:52:34,2018-03-04T18:03:06,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-05,10,-0.4,3.6,10,-4.6,0.7,-0.7,74.9,0,0,0,,0,0.2,,16,105.2,998.7,98,12.5,113.6,9.8,5,,2018-03-05T06:50:31,2018-03-05T18:04:42,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-06,2,-2.7,-0.2,2,-4.4,-1.3,-1.8,89.6,3.223,100,29.17,"rain,snow",0.6,0.3,,12,83.9,993.9,99.3,6,44,4,2,,2018-03-06T06:48:27,2018-03-06T18:06:19,0.64,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-07,8.8,0.4,4.8,6.8,-3,2,1.2,79,0.043,100,29.17,"rain,snow",0.4,0.7,,22.9,232.4,997.3,78.5,25.9,122.7,10.3,5,,2018-03-07T06:46:23,2018-03-07T18:07:55,0.67,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-08,10.3,2.6,5.9,10.3,-0.7,3.2,0,67.3,0.047,100,4.17,rain,0,0.1,,20.4,214.8,1005.9,39.9,41.1,130.4,11.3,5,,2018-03-08T06:44:18,2018-03-08T18:09:31,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03667,01279,03975,03668,04280,01721"
north germany,2018-03-09,7.3,0.9,4.2,5.7,-3.3,1.8,2.9,91.6,4.299,100,79.17,"rain,snow",0.1,0.2,,33.7,161.4,1010.5,90.7,23.6,81.5,7,3,,2018-03-09T06:42:13,2018-03-09T18:11:06,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"03667,01279,03975,03668,04280,01721"
north germany,2018-03-10,12.8,4.9,8.3,12.8,2,6.6,6.3,88.2,2.907,100,58.33,rain,0,0,,14.1,138.5,1006.8,91.6,21.3,100.9,8.7,4,,2018-03-10T06:40:07,2018-03-10T18:12:42,0.77,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-11,16.2,4,10.3,16.2,1,9.2,5.6,75.8,0.008,100,4.17,rain,0,0,,21.8,123.5,999.8,72.2,33.6,102.8,8.9,4,,2018-03-11T06:38:01,2018-03-11T18:14:17,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-12,11.8,7.3,9.3,11.8,6.1,8.6,6.7,85.1,6.203,100,54.17,rain,0,0,,27.2,239.6,996.3,80.7,31,28.8,2.5,1,,2018-03-12T06:35:55,2018-03-12T18:15:52,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-13,9.6,4.8,7.6,6.6,0.9,4.4,3.8,77.3,1.404,100,41.67,rain,0,0,,29.6,234.6,1004.9,67.3,36.9,40.7,3.5,2,,2018-03-13T06:33:48,2018-03-13T18:17:26,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-14,6.4,0.3,4,6.4,-2.3,1.5,1.3,83.6,1.634,100,50,rain,0,0,,19.9,282.3,1012.8,55.5,22.8,43.5,3.6,2,,2018-03-14T06:31:40,2018-03-14T18:19:01,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-15,11,-1.7,4.6,11,-5.4,1.8,-0.1,73.6,0.082,100,4.17,rain,0,0,,26.2,95.9,1002.9,55.4,27.7,131.4,11.4,5,,2018-03-15T06:29:33,2018-03-15T18:20:35,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03667,01279,03975,03668,04280,E4327,01721"
north germany,2018-03-16,8.5,3,6.1,7,-0.3,4.1,4.5,90.1,2.717,100,75,rain,0,0,,21,244.8,1002,65.2,21,47.9,4.1,2,,2018-03-16T06:27:25,2018-03-16T18:22:09,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03667,01279,03975,03668,04280,E4327,01721"
